{'loss': 0.1562, 'learning_rate': 4.920763208773098e-05, 'epoch': 0.05}                                                                                                         
{'loss': 0.1045, 'learning_rate': 4.841526417546195e-05, 'epoch': 0.1}                                                                                                          
{'loss': 0.1003, 'learning_rate': 4.762289626319293e-05, 'epoch': 0.14}                                                                                                         
{'loss': 0.0967, 'learning_rate': 4.68305283509239e-05, 'epoch': 0.19}                                                                                                          
{'loss': 0.0951, 'learning_rate': 4.6038160438654877e-05, 'epoch': 0.24}                                                                                                        
{'loss': 0.0907, 'learning_rate': 4.524579252638586e-05, 'epoch': 0.29}                                                                                                         
{'loss': 0.0927, 'learning_rate': 4.4453424614116826e-05, 'epoch': 0.33}                                                                                                        
{'loss': 0.0898, 'learning_rate': 4.36610567018478e-05, 'epoch': 0.38}                                                                                                          
{'loss': 0.091, 'learning_rate': 4.286868878957878e-05, 'epoch': 0.43}                                                                                                          
{'loss': 0.0903, 'learning_rate': 4.207632087730976e-05, 'epoch': 0.48}                                                                                                         
{'loss': 0.0881, 'learning_rate': 4.1283952965040726e-05, 'epoch': 0.52}                                                                                                        
{'loss': 0.0858, 'learning_rate': 4.04915850527717e-05, 'epoch': 0.57}                                                                                                          
{'loss': 0.0843, 'learning_rate': 3.969921714050268e-05, 'epoch': 0.62}                                                                                                         
{'loss': 0.0883, 'learning_rate': 3.890684922823366e-05, 'epoch': 0.67}                                                                                                         
{'loss': 0.0858, 'learning_rate': 3.811448131596463e-05, 'epoch': 0.71}                                                                                                         
{'loss': 0.0833, 'learning_rate': 3.7322113403695606e-05, 'epoch': 0.76}                                                                                                        
{'loss': 0.0837, 'learning_rate': 3.652974549142658e-05, 'epoch': 0.81}                                                                                                         
{'loss': 0.084, 'learning_rate': 3.5737377579157556e-05, 'epoch': 0.86}                                                                                                         
{'loss': 0.0853, 'learning_rate': 3.494500966688853e-05, 'epoch': 0.9}                                                                                                          
{'loss': 0.0837, 'learning_rate': 3.4152641754619506e-05, 'epoch': 0.95}                                                                                                        
{'loss': 0.0847, 'learning_rate': 3.336027384235048e-05, 'epoch': 1.0}                                                                                                          
{'loss': 0.0812, 'learning_rate': 3.2567905930081455e-05, 'epoch': 1.05}                                                                                                        
{'loss': 0.0798, 'learning_rate': 3.177553801781244e-05, 'epoch': 1.09}                                                                                                         
{'loss': 0.0797, 'learning_rate': 3.0983170105543405e-05, 'epoch': 1.14}                                                                                                        
{'loss': 0.0783, 'learning_rate': 3.019080219327438e-05, 'epoch': 1.19}                                                                                                         
{'loss': 0.0784, 'learning_rate': 2.939843428100536e-05, 'epoch': 1.24}                                                                                                         
{'loss': 0.0759, 'learning_rate': 2.8606066368736333e-05, 'epoch': 1.28}                                                                                                        
{'loss': 0.0781, 'learning_rate': 2.7813698456467308e-05, 'epoch': 1.33}                                                                                                        
{'loss': 0.0767, 'learning_rate': 2.7021330544198283e-05, 'epoch': 1.38}                                                                                                        
{'loss': 0.0782, 'learning_rate': 2.622896263192926e-05, 'epoch': 1.43}                                                                                                         
{'loss': 0.0783, 'learning_rate': 2.5436594719660232e-05, 'epoch': 1.47}                                                                                                        
{'loss': 0.0768, 'learning_rate': 2.464422680739121e-05, 'epoch': 1.52}                                                                                                         
{'loss': 0.0745, 'learning_rate': 2.3851858895122185e-05, 'epoch': 1.57}                                                                                                        
{'loss': 0.074, 'learning_rate': 2.305949098285316e-05, 'epoch': 1.62}                                                                                                          
{'loss': 0.0779, 'learning_rate': 2.2267123070584135e-05, 'epoch': 1.66}                                                                                                        
{'loss': 0.0764, 'learning_rate': 2.147475515831511e-05, 'epoch': 1.71}                                                                                                         
{'loss': 0.0738, 'learning_rate': 2.0682387246046085e-05, 'epoch': 1.76}                                                                                                        
{'loss': 0.0744, 'learning_rate': 1.989001933377706e-05, 'epoch': 1.81}                                                                                                         
{'loss': 0.0756, 'learning_rate': 1.9097651421508038e-05, 'epoch': 1.85}                                                                                                        
{'loss': 0.0762, 'learning_rate': 1.830528350923901e-05, 'epoch': 1.9}                                                                                                          
{'loss': 0.0756, 'learning_rate': 1.7512915596969987e-05, 'epoch': 1.95}                                                                                                        
{'loss': 0.0764, 'learning_rate': 1.672054768470096e-05, 'epoch': 2.0}                                                                                                          
{'loss': 0.0739, 'learning_rate': 1.5928179772431937e-05, 'epoch': 2.04}                                                                                                        
{'loss': 0.0726, 'learning_rate': 1.5135811860162913e-05, 'epoch': 2.09}                                                                                                        
{'loss': 0.0727, 'learning_rate': 1.4343443947893887e-05, 'epoch': 2.14}                                                                                                        
{'loss': 0.0713, 'learning_rate': 1.3551076035624863e-05, 'epoch': 2.19}                                                                                                        
{'loss': 0.0717, 'learning_rate': 1.2758708123355836e-05, 'epoch': 2.23}                                                                                                        
{'loss': 0.0695, 'learning_rate': 1.1966340211086813e-05, 'epoch': 2.28}                                                                                                        
{'loss': 0.0715, 'learning_rate': 1.1173972298817788e-05, 'epoch': 2.33}                                                                                                        
{'loss': 0.071, 'learning_rate': 1.0381604386548762e-05, 'epoch': 2.38}                                                                                                         
{'loss': 0.0718, 'learning_rate': 9.589236474279737e-06, 'epoch': 2.42}                                                                                                         
{'loss': 0.0725, 'learning_rate': 8.796868562010712e-06, 'epoch': 2.47}                                                                                                         
{'loss': 0.0708, 'learning_rate': 8.004500649741689e-06, 'epoch': 2.52}                                                                                                         
{'loss': 0.0692, 'learning_rate': 7.212132737472664e-06, 'epoch': 2.57}                                                                                                         
{'loss': 0.0686, 'learning_rate': 6.419764825203639e-06, 'epoch': 2.61}                                                                                                         
{'loss': 0.0723, 'learning_rate': 5.627396912934614e-06, 'epoch': 2.66}                                                                                                         
{'loss': 0.0712, 'learning_rate': 4.835029000665589e-06, 'epoch': 2.71}                                                                                                         
{'loss': 0.0691, 'learning_rate': 4.0426610883965645e-06, 'epoch': 2.76}                                                                                                        
{'loss': 0.0699, 'learning_rate': 3.2502931761275397e-06, 'epoch': 2.8}                                                                                                         
{'loss': 0.0709, 'learning_rate': 2.457925263858515e-06, 'epoch': 2.85}                                                                                                         
{'loss': 0.0718, 'learning_rate': 1.66555735158949e-06, 'epoch': 2.9}                                                                                                           
{'loss': 0.0711, 'learning_rate': 8.731894393204654e-07, 'epoch': 2.95}                                                                                                         
{'loss': 0.0724, 'learning_rate': 8.082152705144053e-08, 'epoch': 3.0}                                                                                                          
